id|name|brand|gender|season|size|price|photo
0001|Gumáky Demar zebra vel. 20 - 27|Demar|Uni|jaro,podzim|20/21, 22/23, 24/25, 26/27|249|demar/gumaky-klasik/0001.jpg
0002|Gumáky Demar klasik zebra velikost 21|Demar|Uni|jaro,podzim|21|249|??
0003|Bačkory Befado růžová kočička velikost 21|Befado|Dívčí|jaro,podzim|21|190|??
0004|Sněhule šnerování Demar červené velikost 25|Demar|Uni|zima|25|190|??
0005|Sněhule Doggy akce růžové velikost 24 - 26|Doggy|Uni|zima|24,25,26|190|??
0006|Sněhule Doggy akce fialové velikost 21 - 22|Djoggy|Chlapecké|zima|21,22|190|??
0007|Celoroční DD Step velikost 20|DD Step|Dívčí|celoroční|20|190|??
0008|Gumáky Mammut Demar velikost 27|Demar|Dívčí|jaro,podzim|27|349|??
